date;tmin;tmax;prcp;snow;snwd;awnd
2019-06-26;68;89;0.0;0.0;0.0;2.46
2021-03-16;35;45;0.37;0.0;0.0;4.92
2019-06-27;67;93;0.0;0.0;0.0;3.36
2021-03-27;55;77;0.91;0.0;0.0;4.25
2019-06-29;68;92;0.03;0.0;0.0;4.03
2021-03-30;40;74;0.0;0.0;0.0;7.38
2019-07-06;74;93;0.0;0.0;0.0;8.95
2021-04-13;49;76;0.0;0.0;0.0;4.03
2019-07-20;73;95;0.0;0.0;0.0;5.37
2021-04-17;43;65;0.0;0.0;0.0;0.89
2019-07-31;69;95;0.24;0.0;0.0;3.36
2021-04-22;32;61;0.0;0.0;0.0;5.82
2019-08-13;73;96;0.56;0.0;0.0;7.61
2021-05-03;66;79;0.2;0.0;0.0;11.86
2019-08-18;70;92;0.0;0.0;0.0;2.91
2021-05-07;43;64;0.33;0.0;0.0;2.91
2019-08-22;71;95;0.34;0.0;0.0;6.71
2021-05-25;65;85;0.0;0.0;0.0;4.7
2019-08-26;61;79;0.0;0.0;0.0;6.49
2021-05-31;51;75;0.0;0.0;0.0;1.34
2019-09-07;63;90;0.0;0.0;0.0;3.58
2021-06-04;71;85;0.02;0.0;0.0;5.82
2019-09-11;68;92;0.0;0.0;0.0;3.8
2021-06-07;72;89;0.0;0.0;0.0;8.28
2019-09-15;67;86;0.0;0.0;0.0;3.36
2021-06-12;70;80;0.03;0.0;0.0;7.38
2019-09-22;63;90;0.0;0.0;0.0;7.61
2021-06-17;58;82;0.0;0.0;0.0;3.58
2019-09-27;68;88;0.0;0.0;0.0;8.05
2021-06-18;56;88;0.0;0.0;0.0;5.37
